,,
,,
,,
,,
,,
,,
,,
,,
Name,Source,Code
"Fertilizers Index, 2000=100",WORLDBANK,WORLDBANK/WLD_IFERTILIZERS
"Food Index, 2000=100",WORLDBANK,WORLDBANK/WLD_IFOOD
"1 Timber Index, 2000=100",WORLDBANK,WORLDBANK/WLD_ITIMBER
"Metals and minerals Index, 2000=100",WORLDBANK,WORLDBANK/WLD_IMETMIN
"Beverages Index, 2000=100",WORLDBANK,WORLDBANK/WLD_IBEVERAGES
"Energy Index, 2000=100",WORLDBANK,WORLDBANK/WLD_IENERGY
"Non-energy commodities Index, 2000=100",WORLDBANK,WORLDBANK/WLD_INONFUEL
"Fats and oils Index, 2000=100",WORLDBANK,WORLDBANK/WLD_IFATS_OILS
"Agriculture Index, 2000=100",WORLDBANK,WORLDBANK/WLD_IAGRICULTURE
"Grains Index, 2000=100",WORLDBANK,WORLDBANK/WLD_IGRAINS
"Raw materials Index, 2000=100",WORLDBANK,WORLDBANK/WLD_IRAW_MATERIAL
"2 Oth raw materials Index, 2000=100",WORLDBANK,WORLDBANK/WLD_IOTHERRAWMAT
"Other food Index, 2000=100",WORLDBANK,WORLDBANK/WLD_IOTHERFOOD
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
